Nom du Produit,Type,Plant?,Catégorie,Climate change,Ozone depletion,"Ionising radiation, HH","Photochemical ozone formation, HH",Respiratory inorganics,Acidification terrestrial and freshwater,Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Ecotoxicity freshwater,Land use,Water scarcity,"Resource use, energy carriers","Resource use, mineral and metals",Climate change - fossil,Climate change - biogenic,Climate change - land use and transform.
"Poulet, Bleu Blanc Coeur, at farm gate/FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.4474439543547963,1.1145425464102705e-07,0.17057629220765047,0.004624582813980019,3.2014024501248145e-07,0.04721222745263291,0.00040992200673132823,0.012102207765883714,0.20612582589225834,7.076015972678383,407.0812778869929,2.8000842570832143,11.744188638152824,1.9818994697918607e-06,1.2127464875484542,0.05243329575353399,0.18226417105280857
"Poulet, conventionnel, départ ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.8745278675139365,1.4506908834454583e-07,0.21982858122336274,0.006329775558856009,3.384268864503665e-07,0.0493909066700225,0.0005154229503169953,0.011752018482747673,0.21247127572721697,4.414015789453159,361.9464474252326,3.1713051462776396,15.15382108602171,2.638326450941957e-06,1.384915320683082,0.05033864622784387,0.4392739006030108
"Poulet, Label Rouge, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,2.8265881159635713,2.1277146001714166e-07,0.2826150751594172,0.008855695713347808,5.477897396100244e-07,0.08009160183654826,0.0006955023113769155,0.01929483255754521,0.3465052881007873,6.22928058763378,590.3348350784297,4.138620871669867,22.510810681568106,3.7257675872758196e-06,2.2692303010711945,0.06536447035159976,0.49199334454077753
"Poulet, moyenne nationale, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.9919096679733097,1.5346816507729302e-07,0.22795443009248068,0.0066445205187067174,3.648120023065767e-07,0.053260544652324736,0.0005382731819778688,0.012754095739357665,0.2293947862148721,4.643459389379163,393.3917841964065,3.2965386253068636,16.075367283732138,2.7731111540392174e-06,1.496097164185196,0.05228311830212306,0.44352938548599086
"Canard à rôtir,  conventionnel, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,2.7399459926891763,1.7754183892478336e-07,0.25945174114861336,0.008043292055833552,6.456014344176973e-07,0.09404178430262364,0.0006291094575638172,0.017565991669537203,0.4111367377162969,6.798170181437408,526.5207739325356,3.532655409356103,18.20661041590214,3.1851603088231627e-06,1.5588921542161076,0.7388665365541112,0.4421873019189575
"Oeuf, Bleu Blanc Coeur, outdoor system, at farm gate/FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.6785136403450196,1.203891638065212e-07,0.2516694692409861,0.005632254983954092,5.01837914784234e-07,0.0732455866035076,0.00044831598461422936,0.017414368304894134,0.32279203313931276,8.386168001246684,579.549180871205,1.9019913259053978,12.59286987135258,2.070723769020775e-06,1.4101180003388314,0.07696268629660921,0.1914329537095786
"Oeuf, production conventionnelle, intérieur, cage 2012 règles, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.5460249231521053,1.342681986683881e-07,0.2946319214745427,0.006092971055999852,4.6201981974556304e-07,0.06726130568169551,0.0005050243267561122,0.012531475205138828,0.2929856788797752,5.057294212059235,378.2043050054216,3.338453415807299,14.622767649984722,2.4265027369282123e-06,1.1193249085081287,0.04925741639570833,0.37744259824826787
"Oeuf, système conventionnel, à l'intérieur, de la cage, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.4921335573738437,1.2781163189446152e-07,0.25981789781109776,0.005902980671162241,4.3747576305540554e-07,0.06372259714870103,0.0004878906657079476,0.012115081260109146,0.2774794448394456,4.904695754552053,367.06284818729154,3.2347380382014137,13.616577177992644,2.325190222672148e-06,1.0778318830719589,0.04781601672911277,0.3664856575727721
"Oeuf, système conventionnel, à l'intérieur, non-cage, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,2.1161159455708494,1.616698500880914e-07,0.3398406090349015,0.007282853193924524,5.602825433683586e-07,0.08133688695184002,0.000607086587298472,0.014762342732559629,0.35404402311906547,5.966018540838575,444.66428370940906,3.898047872852952,17.541989834792535,2.993633788650746e-06,1.598833050918292,0.07607013395895841,0.4412127606935993
"Oeuf, système conventionnel, en plein air, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,2.045377712897891,1.4611911162751842e-07,0.27995075332291314,0.006951616553411028,5.270511353377217e-07,0.07660069675826496,0.0005548310854061781,0.015863510409816796,0.3344904354721127,4.884071547976873,509.2878568626501,3.6845064436996053,15.163608041824105,2.460869054520073e-06,1.5460858917338003,0.0745275790490483,0.42476424211504243
