Nom du Produit,Type,Plant?,Catégorie,Climate change,Ozone depletion,"Ionising radiation, HH","Photochemical ozone formation, HH",Respiratory inorganics,Acidification terrestrial and freshwater,Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Ecotoxicity freshwater,Land use,Water scarcity,"Resource use, energy carriers","Resource use, mineral and metals",Climate change - fossil,Climate change - biogenic,Climate change - land use and transform.
"Poulet, Bleu Blanc Coeur, at farm gate/FR U",conv,0,Agricultural\Animal production\Avian\Transformation,0.7605805302515993,1.1728734015888873,1.3701417474641457,0.874403268270331,1.4923617771060838,1.6029501904604366,1.0722897905256579,0.8336803708414802,1.6384445747278025,1.2283885621602697,0.6855925144837056,1.0500154573141123,1.3545191812893855,0.5989149232888128,1.3257753566507682,0.07182962768298755,0.7054516180824925
"Poulet, conventionnel, départ ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,0.9849979995119562,1.5266144451827304,1.7657572017879355,1.1968163743007996,1.577606556975856,1.6769207369670722,1.3482632265453554,0.8095570094617023,1.6888830280913791,0.7662682687397515,0.609577960172357,1.1892211511235082,1.747770064264941,0.7972821568707992,1.5139904523008292,0.06896011712877968,1.7002051592027734
"Poulet, Label Rouge, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.4852719385606505,2.2390709701940477,2.270085179640618,1.674410338409466,2.5535698245405625,2.7192711580274507,1.8193217625060665,1.3291560906138484,2.7542871299396543,1.0813962339658125,0.9942219550590544,1.551958972742805,2.5962904542849534,1.1258985850375076,2.480724242547181,0.08954435347952812,1.9042552301271967
"Poulet, moyenne nationale, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.0466779780469964,1.615000965100446,1.831027495948213,1.2563274767364845,1.7006030842846565,1.8083027385251957,1.408035743557744,0.8785867398268898,1.8234039394028085,0.8060994244208908,0.6625371323986976,1.2361829839402412,1.8540568448764116,0.8380130674676312,1.6355345258030134,0.07162389599539856,1.7166759701091807
"Canard à rôtir,  conventionnel, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.4397445716018809,1.8683369353169996,2.0840273721463416,1.520803312249656,3.009527602292765,3.1929079434002263,1.645648775599782,1.2100620591344455,3.268026965891488,1.1801548394944918,0.8867484724476145,1.324725417031615,2.099864349461044,0.9625311833913232,1.7041820553228935,1.0121909650228926,1.7114814493292776
"Oeuf, Bleu Blanc Coeur, outdoor system, at farm gate/FR U",conv,0,Agricultural\Animal production\Avian\Transformation,0.8819994658634135,1.2668986798483255,2.021516835114752,1.0649311221789697,2.3393613705062677,2.4868351554535963,1.1727222382241447,1.1996172357345198,2.5657961741237956,1.455829508138689,0.9760571211795269,0.7132357845397077,1.4524020614599993,0.6257569499252367,1.5415420403303277,0.10543302729154515,0.7409392979907453
"Oeuf, production conventionnelle, intérieur, cage 2012 règles, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,0.8123813376645508,1.4129527796369614,2.3666096297627415,1.1520420369027085,2.153745834819484,2.2836567679688837,1.3210621060962093,0.8632511603099291,2.3288726386203855,0.8779406928361464,0.6369588938187676,1.2519007887899372,1.686520872212209,0.733270643994913,1.2236468173866075,0.06747891448519419,1.4608877330605659
"Oeuf, système conventionnel, à l'intérieur, de la cage, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,0.7840633337540753,1.3450079940465736,2.0869684990924666,1.116119182858503,2.0393315659790017,2.1635104875876316,1.2762432149057308,0.8345671825412543,2.205617316644781,0.8514497690551802,0.6181948292206558,1.213008119981181,1.5704716212732142,0.702654773902249,1.1782866113081218,0.06550430655895177,1.4184790057494652
"Oeuf, système conventionnel, à l'intérieur, non-cage, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.1119439775984774,1.7013102605899577,2.7297451474412786,1.3770216452497799,2.611806122876307,2.7615510952478908,1.5880405024262987,1.01692811773263,2.814210719997043,1.0356942332378911,0.7488885412560273,1.46174548479823,2.023210154511545,0.9046533278869353,1.7478454731220519,0.10421029846667024,1.7077094974401825
"Oeuf, système conventionnel, en plein air, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.0747735418426818,1.5376642196719517,2.2486842069167494,1.31439234165934,2.456895005274066,2.6007479011926056,1.4513485457667819,1.0927838537515009,2.658783958416181,0.8478694295592828,0.8577253766001267,1.381668679673256,1.7488988454663694,0.7436558833967934,1.6901822397108397,0.1020971155498413,1.6440456737754596
