Catégorie,Type,Plant?,Climate change,Ozone depletion,"Ionising radiation, HH","Photochemical ozone formation, HH",Respiratory inorganics,Acidification terrestrial and freshwater,Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,Ecotoxicity freshwater,Land use,Water scarcity,"Resource use, energy carriers","Resource use, mineral and metals",Climate change - fossil,Climate change - biogenic,Climate change - land use and transform.
Agricultural\Animal production\Avian\Transformation,Conventional,0,2.3080115558673753,1.7314516782558462e-07,0.29496487659525683,0.007768950325233786,5.272247495427048e-07,0.07684257882073885,0.000635803102153039,0.017082738903791705,0.33387357124957273,6.603168138207596,510.27458602085414,3.5294404955742067,18.167574971927284,3.1113304547332365e-06,1.7042292028597588,0.11673369899215695,0.48704865401546005
Agricultural\Animal production\Bovine\Transformation,Conventional,0,18.983100353143435,3.0509590588534586e-07,0.48386618190152764,0.02309852892036999,1.5765839744256664e-06,0.23638686006841225,0.0006786134831700563,0.05270768582396397,1.0529039809607204,20.300256840303447,2550.3377660468104,2.8506065647851493,27.17001734757002,5.263814184440109e-06,4.618565543292577,14.212786706831942,0.15174810301891586
Agricultural\Animal production\Dairy\Transformation,Conventional,0,1.375720815012151,3.113952956540252e-08,0.05843607673519115,0.0019966510830511023,1.4002371815845418e-07,0.020662655373416734,0.00010948445559056783,0.004769911025842585,0.09077336253345748,1.5096964113990174,239.4716845327686,0.4267488381587655,3.179384067390729,6.593722507379301e-07,0.4001689505338529,0.9349230876447082,0.04062877683358968
Agricultural\Animal production\Ovine\Transformation,Conventional,0,8.828177905052994,1.6242729342149737e-07,0.23321360422508067,0.011363066465295162,9.668678851699744e-07,0.14327144771371006,0.00042639540066106844,0.030557391720112195,0.636880323052168,10.246953266353737,2082.1992932252388,1.6747667226457736,14.858494937593756,2.97207915063646e-06,2.664370430865689,6.0752407117695295,0.08856676241777342
Agricultural\Animal production\Porcine\Transformation,Conventional,0,2.647288795608358,1.2248618698350744e-07,0.2913041923371831,0.005511741181991803,4.7459796607052773e-07,0.06947064089215518,0.00040007848462368423,0.016144652245922795,0.30659296662105034,6.213916761290094,551.3229333083225,1.7961497422928048,13.241736817947416,2.276891161208998e-06,1.4359819972039802,1.11168716192699,0.09961963647738854
Agricultural\Plant production\Cereals\Transformation,Conventional,1,0.4127700710673955,2.6623773213127086e-08,0.02290302080486561,0.001436851815676065,5.600621544402028e-08,0.008679800411674947,0.0002996089722415609,0.005966397691084424,0.03833599725645122,1.789957604073448,185.48854791156822,1.2893537563515118,2.219743421410271,6.023062159035966e-07,0.2903408943527254,0.12229128391032837,0.0001378928043417432
Agricultural\Plant production\Fruits\Transformation,Conventional,1,0.4991343320603652,6.608293963844644e-08,0.07137975030911028,0.004766876911341893,3.2689176169080425e-07,0.008633519602342288,0.0001440604338416554,0.004224224713583287,0.03824893630602196,16.994382738995473,89.04662045136836,7.846173677745542,5.696246308681626,6.253316392169883e-06,0.4920404876342515,0.005811539905131172,0.0012823045209825541
Agricultural\Plant production\Legumes\Transformation,Conventional,1,0.24981319032684354,2.8386484198474106e-08,0.034178808123933466,0.0009679218167050214,1.303993225169116e-08,0.0022768836234372835,0.00018176455236123867,0.006672479080771232,0.00953299067235115,11.895964623447266,290.3549662218253,1.250535902181125,1.8989200583751078,4.6074326259587906e-07,0.18174347345390765,6.519452243621785e-05,0.06800452235049974
Agricultural\Plant production\Oil seeds\Transformation,Conventional,1,0.6387396957850797,4.122687467742499e-08,0.018683226720731437,0.0019543778631703392,5.394902723432562e-08,0.008588537520444736,0.0003504809152161344,0.008889609450623497,0.037694408878542036,2.8941764711749065,370.70462018156553,0.19321149422769046,2.8278883990839896,8.571996047764572e-07,0.41732533229927515,0.0014079784526796273,0.2200063850331249
Agricultural\Plant production\Roughage\Transformation,Conventional,1,0.21149973919332446,1.1092507230296903e-08,0.006266990787361434,0.0012311919849851709,5.9460889283256526e-08,0.009260023917336055,3.126273970955399e-05,0.0029216123237782604,0.0417127745446234,0.9341193351278568,167.83455347900974,0.05119938454919495,0.8459106775132015,2.808977291594675e-07,0.211389831158067,3.9380809996830235e-05,7.052722526056607e-05
