Nom du Produit,Type,Plant?,Catégorie,Climate change,Ozone depletion,"Photochemical ozone formation, HH",Respiratory inorganics,Acidification terrestrial and freshwater,Eutrophication freshwater,Eutrophication marine,Eutrophication terrestrial,categ_rec,total
"Poulet, Bleu Blanc Coeur, at farm gate/FR U",conv,0,Agricultural\Animal production\Avian\Transformation,0.7605805302515993,1.1728734015888873,0.874403268270331,1.4923617771060838,1.6029501904604366,1.0722897905256579,0.8336803708414802,1.6384445747278025,Viande,9.447583903772278
"Poulet, conventionnel, départ ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,0.9849979995119562,1.5266144451827304,1.1968163743007996,1.577606556975856,1.6769207369670722,1.3482632265453554,0.8095570094617023,1.6888830280913791,Viande,10.809659377036851
"Poulet, Label Rouge, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.4852719385606505,2.2390709701940477,1.674410338409466,2.5535698245405625,2.7192711580274507,1.8193217625060665,1.3291560906138484,2.7542871299396543,Viande,16.574359212791745
"Poulet, moyenne nationale, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.0466779780469964,1.615000965100446,1.2563274767364845,1.7006030842846565,1.8083027385251957,1.408035743557744,0.8785867398268898,1.8234039394028085,Viande,11.536938665481221
"Canard à rôtir,  conventionnel, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.4397445716018809,1.8683369353169996,1.520803312249656,3.009527602292765,3.1929079434002263,1.645648775599782,1.2100620591344455,3.268026965891488,Viande,17.155058165487244
"Oeuf, Bleu Blanc Coeur, outdoor system, at farm gate/FR U",conv,0,Agricultural\Animal production\Avian\Transformation,0.8819994658634135,1.2668986798483255,1.0649311221789697,2.3393613705062677,2.4868351554535963,1.1727222382241447,1.1996172357345198,2.5657961741237956,Viande,12.978161441933032
"Oeuf, production conventionnelle, intérieur, cage 2012 règles, à la  de la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,0.8123813376645508,1.4129527796369614,1.1520420369027085,2.153745834819484,2.2836567679688837,1.3210621060962093,0.8632511603099291,2.3288726386203855,Viande,12.327964662019111
"Oeuf, système conventionnel, à l'intérieur, de la cage, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,0.7840633337540753,1.3450079940465736,1.116119182858503,2.0393315659790017,2.1635104875876316,1.2762432149057308,0.8345671825412543,2.205617316644781,Viande,11.764460278317554
"Oeuf, système conventionnel, à l'intérieur, non-cage, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.1119439775984774,1.7013102605899577,1.3770216452497799,2.611806122876307,2.7615510952478908,1.5880405024262987,1.01692811773263,2.814210719997043,Viande,14.982812441718384
"Oeuf, système conventionnel, en plein air, à la ferme / FR U",conv,0,Agricultural\Animal production\Avian\Transformation,1.0747735418426818,1.5376642196719517,1.31439234165934,2.456895005274066,2.6007479011926056,1.4513485457667819,1.0927838537515009,2.658783958416181,Viande,14.18738936757511
